,Short_description,Description,Caller,Assignment_group,clean_desc
3966,user switzerlandim blocked in netweaver,"

received from: vogtfyne.isugmpcn@gmail.com

hello,
please unlock netweaver access for user switzerlandim â€“ marftgytin switzerlandik.
i reinstalled the application, now it reports too many failed logins

best ",xeoycjsu iuasmloj,0,user switzerlandim block netweaver please unlock access for marftgytin switzerlandik reinstall the application now report too many fail login best
3967,please install ms visio std on the clients pc,please install ms visio std on the clients pc,unzfykar osxmbhav,23,please install visio std the client pcplease
3968,reset passwords for dwfiykeo argtxmvcumar using password_management_tool password reset.,"i have been locked out of SID_39, client 120 function specifically for the crm system.  i made one attempt at entering my password and i received: ""password logon no longer possible - too many failed attempts"".",pxsghrjd wiehqmka,9,reset passwords for dwfiykeo argtxmvcumar use passwordmanagementtool password have be lock out sid client function specifically the crm system make one attempt enter and logon longer possible too many fail
3969,software request - visio,need visio installed on my laptop.,unzfykar osxmbhav,23,software request visioneed visio instal laptop
3970,unable to connect to skype ,unable to connect to skype ,ksgytjqr ojdukgzc,0,unable connect skype
3971,connection issues with secomea site manager,"well i have fighting with this all week. our suppliers technical department has been helping also.

just to refresh your memory we are having trouble connecting secomea site managers to the secomea cloud.

history:

i configured a total of five secomea site mangers and i uacyltoe hxgaycze them as each one is complete
the first two worked, and still work fine
the third one started dropping off of the cloud and wont connect at all now
units four and five wont connect at all and never did

i tried unit three at building one and twoâ€¦no luck

i took unit three home and connected it to my routerâ€¦it connects and i can see it on the gate manager!

we use these in every machine we build so i'm asking for help from company's it department and some direction. 
i realize it might not be familiar with this product so i have attached a simple troubleshooting guide from secomea.

",sxzuctga qnwhyapd,34,connection issue with secomea site managerwell have fight this all week - supplier technical department be help also just refresh memory trouble connect manager the cloud history configure total five manger and uacyltoe hxgaycze each one complete two work still fine third start drop off now unit four never do try three build twoano luck take home routerait can see gate use these every machine iam ask for company some direction realize may not familiar product attach simple troubleshooting guide
3972,kein zugriff auf zeiterfassung und sonstiges netzwerk,kein zugriff auf zeiterfassung und sonstiges netzwerk /spdczoth vajtodny,spdczoth vajtodny,17,access time recording and other network spdczoth vajtodny
3973,outlook does not start.,outlook does not start.,sghamujc shompueb,0,outlook do not start
3974,vfx3 billing errors,"please see the attached screen print for vfx3 billing errors for 0612893276 and 0612893277, both of which state: foreign trade data incomplete.  the billing document will not create.",slkxgzdj wxpytevu,5,vfx billing errorsplease see the attach screen print for error and both which state foreign trade datum incomplete document will not create
3975,mobile device activation,mobile device activation,lhycpqra fdhyxqrw,0,mobile device activationmobile activation
3976,power supply issue for pwr8hmc1.hq.company.com..  ,power supply issue for pwr8hmc1.hq.company.com..  ,rkupnshb gsmzfojw,72,power supply issue for pwr hmc company com
3977,issue with symantec endpoint protection,i have 4 warning messages on my symantec endpoint protection icon on my taskbar.  please see the attached document showing these messages.,dctvfjrn oypnxftq,46,issue with symantec endpoint protectioni have warn message protection icon taskbar please see the attach document show these
3978,trying to get the status of ticket number ticket_no0438372,"name:erirtc
language:
browser:microsoft internet explorer
email:ntsowaem.jfgslyde@gmail.com
customer number:
telephone:
summary:trying to get the status of ticket number ticket_no1549483?",ntsowaem jfgslyde,0,try get the status ticket number ticketno erirtc language browser microsoft internet explorer email customer telephone summary
3979,windows account lockout,windows account lockout,vyjmlain hvjbmdgi,0,windows account lockoutwindow lockout
3980,unable to connect to mobile broadband ,unable to connect to mobile broadband ,ksgytjqr ojdukgzc,0,unable connect mobile broadband
3981,monitor not working.,monitor not working.,mknoeicg aziptqvu,23,monitor not work
3982,need mouse replacement ,"need mouse replacement 
ltcw7406044",dxgyefir rczsatqu,23,need mouse replacement ltcw
3983,maus funktioniert nicht mehr richtig. bitte ersetzen.,maus funktioniert nicht mehr richtig. bitte ersetzen. /howfanzi siavgtby,howfanzi siavgtby,17,mouse longer work properly please replace howfanzi siavgtby
3984,brauche eine neue funktionierende maus.,brauche eine neue funktionierende maus. /tkhaymqg cwuqzyvm,tkhaymqg cwuqzyvm,17,need new working mouse work tkhaymqg cwuqzyvm
3985,unable to load outlook due to crm,unable to load outlook due to crm,ksgytjqr ojdukgzc,0,unable load outlook due crmunable crm
3986,smart phone issue,"my iphone 6 now has a reduced ear speaker(?). when speaking to an individual, i can not hear them with any volume. very faint. i must use the speaker phone, which makes the call non-secure. can the phone be repaired or can i replace it?",ndyrowef biwecrgx,0,smart phone issuemy iphone now have reduce ear speaker when speak individual can not hear - with any volume very faint must use the which make call non secure repair replace
3987,keine anmeldung auf skype mÃ¶glich,keine anmeldung auf skype mÃ¶glich /vzqomdgt jwoqbuml,vzqomdgt jwoqbuml,17,registration skype possible vzqomdgt jwoqbuml
3988,employee owned mobility agreement,"

received from: clzwduvj.keflinbj@gmail.com

hello it support team,

please release the device as per attached form as an employee owned mobile device. the corresponding form is attached.
for the moment i am using the outlook app.

hello joftgost,

please approve the form in return by mail.

",clzwduvj keflinbj,0,employee own mobility agreement support team please release the device per attach form mobile corresponding for moment use outlook app joftgost approve return mail
3989,no response from caller,no response from caller,fumkcsji sarmtlhy,0,response callerno caller
3990,i need to know the members in lhqftphfm*,i need to know the members in lhqftphfm*.  could you please provide it in an excel file format,ljyfsaox paxockls,12,need know the member lhqftphfm could - please provide excel file format
3991,account locked out on bex,account locked out on bex,tyuhfljp zyjfpgtk,0,account lock out bexaccount bex
3992,outlook is not working . i've updated the sp 2 but .. nothing,outlook is not working . i've updated the sp 2 but .. nothing,hnueblym pxfqkrye,0,outlook not work update the but nothingoutlook nothing
3993,please setup printers dg04 and dg08 on HostName_837 with x64 print drivers,please setup printers dg04 and dg08 on HostName_837 with x64 print drivers,glnfyoqe fexlisau,4,please setup printer and host with print driversplease driver
3994,printer's won't update their driver,"i cannot print at all the status of the printers i have mapped to are all ""need driver update"". however, when i try to update the driver it will not update it, but quits half way through the installation. ",amylzuog irtsuqey,0,printer will not update - driveri can print all the status have map are need driver however when try but quit half way through installation
3995,printer problem (reroute) / issue information,"hi team, 


could you please  route the all files print  pa07 hp m4555 (ip: 79.67.01.6592) to: plant_248 hp m600 (61.01.52.0266).

note: pa07 have a problem hardware
if you have more doubts, please contact me.

",qasdhyzm yuglsrwx,72,printer problem reroute issue information team could - please route the all file print plant note have hardware more doubt contact
3996,account locked in ad,account locked in ad,xandvryi jcsnqxpt,0,account lock adaccount
3997,tonerpatrone em01 / germany alle,"

received from: yzodcxkn.zyewibop@gmail.com

bitte toner an em01 prÃ¼fen und ersetzen

freundlicher gruÃŸ / best ",yzodcxkn zyewibop,37,toner cartridge germany all please check and replace friendly gruay best
3998,bitte guest wifi fuer gastronomie fuer eine jahr einrichten,bitte guest wifi fuer gastronomie fuer eine jahr einrichten,gosqphkl grmuhwix,0,please set guest wifi for gastronomy one year
3999,ticket update - inplant_859150,ticket update - inplant_859150,olckhmvx pcqobjnd,0,ticket update inplant
4000,password_management_tool account unlock,password_management_tool account unlock,lkfzibrx ljnabpgx,0,passwordmanagementtool account unlockpasswordmanagementtool unlock
4001,job Job_577_dr4100 failed in job_scheduler at: 09/19/2016 06:19:00  ,"received from: monitoring_tool@company.com

job Job_577_dr4100 failed in job_scheduler at: 09/19/2016 06:19:00",bpctwhsn kzqsbmtp,72,job fail jobscheduler
4002,job Job_575 failed in job_scheduler at: 09/19/2016 06:16:00  ,"received from: monitoring_tool@company.com

job Job_575 failed in job_scheduler at: 09/19/2016 06:16:00",bpctwhsn kzqsbmtp,45,job fail jobscheduler
4003,unable to received incoming email,"hi it team

kindly please assist, user kassiaryu unable to received incoming email.
pc name: aswl8912729.

hydstheud mddwwyleh
operation supervisor
company distribution services of asia pte ltd 
email : rxoynvgi.ntgdsehl@gmail.com
",rxoynvgi ntgdsehl,0,unable incoming email team kindly please assist user kassiaryu aswl hydstheud mddwwyleh operation supervisor company distribution service asia pte ltd
4004,erp access issue,"system (SID_34, SID_37, SID_39, SID_38, hrp, other ?): SID_29

enter user id of user having the issue: mahapthysk, ngyht2

transaction code(s) the user needs or was working with: we05

describe the issue: no authorization to open employee idoc

if you are getting a ""not authorized"" message, recreate the condition then do   /nsu53   and attach result to the ticketing_tool ticket.

provide access the same as this other user:",tavsikpl dcrkwuny,12,erp access issuesystem sid hrp other enter user have the issue mahapthysk ngyht transaction code need be work with describe authorization open employee idoc - get not authorize message recreate condition then nsu and attach result ticketingtool ticket provide same this
4005,job bkbackup_tool_sql_prod_inc failed in job_scheduler at: 09/19/2016 05:38:00  ,"received from: monitoring_tool@company.com

job bkbackup_tool_sql_prod_inc failed in job_scheduler at: 09/19/2016 05:38:00",bpctwhsn kzqsbmtp,72,job bkbackuptoolsqlprodinc fail jobscheduler
4006,unable to loginto skype,unable to loginto skype,hlcujyed hqfolasz,0,unable loginto skypeunable skype
4007,need assistance - cannot login to engineering tool web application after password change,need assistance - cannot login to engineering tool web application after password change,sjeryqba rwtxpzku,21,need assistance can not login engineering tool web application after password changeneed change
4008,add user maghtyion cnjkeko (cekomthyr) to active directory group eagcutview,add user maghtyion cnjkeko (cekomthyr) to active directory group eagcutview,skocrqdw pexcdfao,0,add user maghtyion cnjkeko cekomthyr active directory group eagcutviewadd eagcutview
4009,job Job_3181 failed in job_scheduler at: 09/19/2016 05:00:00  ,"received from: monitoring_tool@company.com

job Job_3181 failed in job_scheduler at: 09/19/2016 05:00:00",bpctwhsn kzqsbmtp,72,job fail jobscheduler
4010,job Job_459 failed in job_scheduler at: 09/19/2016 04:51:00  ,"received from: monitoring_tool@company.com

job Job_459 failed in job_scheduler at: 09/19/2016 04:51:00",bpctwhsn kzqsbmtp,72,job fail jobscheduler
4011,network problems (multiple applications are running slow),"hi manjgtiry,

",mcytlpva jutxbdor,0,network problem multiple application be run slow manjgtiry
4012,job Job_499 failed in job_scheduler at: 09/19/2016 04:36:00  ,"received from: monitoring_tool@company.com

job Job_499 failed in job_scheduler at: 09/19/2016 04:36:00",bpctwhsn kzqsbmtp,72,job fail jobscheduler
4013,job Job_465 failed in job_scheduler at: 09/19/2016 04:33:00  ,"received from: monitoring_tool@company.com

job Job_465 failed in job_scheduler at: 09/19/2016 04:33:00",bpctwhsn kzqsbmtp,72,job fail jobscheduler
4014,job bwhrattr failed in job_scheduler at: 09/19/2016 04:25:00  ,"received from: monitoring_tool@company.com

job bwhrattr failed in job_scheduler at: 09/19/2016 04:25:00",bpctwhsn kzqsbmtp,73,job bwhrattr fail jobscheduler
4015,pls help to create delivery note for sto 4908128350,"

received from: gjtyswkb.dpvaymxr@gmail.com

dear it,

would you pls help to create delivery note for sto 5019239461,it's urgent for plant_305,for something error we unable to create, ",gjtyswkb dpvaymxr,56,pls help create delivery note for sto dear would - urgent plant something error unable
4016,job Job_593 failed in job_scheduler at: 09/19/2016 04:07:00  ,"received from: monitoring_tool@company.com

[critical] from: bda-net@lhqSID_1839.company.company.com ""lhqSID_1839.company.company.com [/f]""  time: 9/19/2016 3:33:53 am
 ipc failure reading net message (ipc read error
 system error: [10054] connection reset by peer
) => aborting.

 backup statistics:
          
  session queuing time (hours)         0.00        
  -------------------------------------------      
  completed disk agents ........         35          
  failed disk agents ...........          3          
  aborted disk agents ..........          0          
  -------------------------------------------      
  disk agents total  ...........         38          
  ===========================================      
  completed media agents .......          1          
  failed media agents ..........          0          
  aborted media agents .........          0          
  -------------------------------------------      
  media agents total  ..........          1          
  ===========================================      
  mbytes total .................  499365 mb        
  used media total .............          1          
  disk agent errors total ......          4  


job Job_593 failed in job_scheduler at: 09/19/2016 04:07:00",bpctwhsn kzqsbmtp,72,job fail jobscheduler critical bda pany company com lhqsid time ipc failure read net message error system connection reset peer aborting backup statistic session queuing hour complete disk agent abort total medium mbyte use
4017,"cannot create engineering tool task for er, ","cannot create engineering tool task for er, please help to deal with.
any problems, contact gaop<scievjwr.cdlsvoif@gmail.com>
t   ",scievjwr cdlsvoif,18,can not create engineering tool task for please help deal with any problem contact gaop
4018,erp systems are slow in plant,"erp systems are slow in plant
all erp users in plant
",ouqzfajm pioneqcg,0,erp system be slow planterp plant all user
4019,vip 2: access to company guest from 19 september to 1 october 2016,"

received from: sbgvrncj.idfhtoqv@gmail.com

hello,
please usa the following consultants from attendance_tool access to company guest for 2 weeks from 19 september to 1 october.

roshyario.mcfaullfhry@attendance_tool.com<mailto:roshyario.mcfaullfhry@attendance_tool.com>  (roshyario mcfaullfhry)
ssofgrtymerset@attendance_tool.com<mailto:ssofgrtymerset@attendance_tool.com>  (sarhfa ssofgrtymerset)
josefghph.hughdthes@attendance_tool.com<mailto:josefghph.hughdthes@attendance_tool.com>  (josefghph hughdthes)
jofgyst.langytge@attendance_tool.com<mailto:jofgyst.langytge@attendance_tool.com>  (jofgyst langytge)

please confirm when done.
many ",sbgvrncj idfhtoqv,0,vip access company guest september october please usa the follow consultant attendancetool for week mailto roshyario mcfaullfhry sarhfa ssofgrtymerset josefghph hughdthe jofgyst langytge confirm when do many
4020,network problems (multiple applications are running slow),"how did you determine there are network problems ?

is only erp slow ? (please use the quick ticket within the erp folder if only erp is running slow)

are more than one transactions impacted?

what erp server are you on (server name is located in the status bar at the bottom 
right of your screen) ?

do other co-workers also notice slow response times in erp ?

what other applications are running slow ? 

can you access your data files on the server ?

any other comments or issues with other systems ?",jgmlbxns pxjsdwrk,6,network problem multiple application be run slow how do - determine there only erp please use the quick ticket within folder more than one transaction impact what server locate status bar bottom right screen other worker also notice response time can access data file any comment issue with system
4021,laptop speakers not working. mic not working during skype concall,head set input jack no longer ask questions during plug in,jgautdmk fpurxzew,0,laptop speaker not work mic during skype concallhead set input jack longer ask question plug
4022,unable to login to skype ,"unable to login to skype 
m ",yjwivxsh fcetobrj,11,unable login skype
4023,infotype 17 has been deleted for huge number of travelers in germany in SID_34,"we are facing huge issues that german travelers cannot enter their expenses in erp SID_34, because their infotype 17 does not exist again. we have to create it manually for each of them which is relly time consuming. some of them don't even know who to contact when the error comes up. 
what happened? why was the infotype deleted? can it be re-created automatically somehow? 



",ipwjorsc uboapexr,2,infotype have be delete for huge number traveler germany sid face issue that german can not enter - expense erp because do exist again create manually each which relly time consume some even know who contact when the error come what happen why automatically somehow
4024,HostName_894 : volume: c:\ label:sys-HostName_894 28385a7b is over  85% space consumed. space available: 4.6 g,HostName_894 : volume: c:\ label:sys-HostName_894 28385a7b is over 85% space consumed. space available: 4.6 g,spxqmiry zpwgoqju,33,host volume label sys over space consume available ghost
4025,apusm00 : volume: f:\ label:dat2-HostName_53 d4e35b72 is over  85% space consumed. space available: 0.98 m,apusm00 : volume: f:\ label:dat2-HostName_53 d4e35b72 is over  85% space consumed. space available: 0.98 m,spxqmiry zpwgoqju,4,apusm volume label dat host over space consume available mapusm
4026,network problems (multiple applications are running slow),"how did you determine there are network problems ?

is only erp slow ? (please use the quick ticket within the erp folder if only erp is running slow)

are more than one transactions impacted?

what erp server are you on (server name is located in the status bar at the bottom 
right of your screen) ?

do other co-workers also notice slow response times in erp ?

what other applications are running slow ? 

can you access your data files on the server ?

any other comments or issues with other systems ?",jgmlbxns pxjsdwrk,0,network problem multiple application be run slow how do - determine there only erp please use the quick ticket within folder more than one transaction impact what server locate status bar bottom right screen other worker also notice response time can access data file any comment issue with system
4027,connection to finance_app data base,"

received from: naisdxtk.mqzvewsb@gmail.com

hello,

i receive the following error message when i try to open finance_app â€“ plant monthly book. could you please check?

[cid:image001.png@01SID_35259.57ca22e0]

mit freundlichen grÃ¼ssen / kind ",naisdxtk mqzvewsb,51,connection financeapp data base receive the follow error message when try open plant monthly book could - please check cid mit freundlichen gra ssen kind
4028,ä¼ çœŸæœºä¸æ¸…æ¥š,to å°è´ºï¼šä¼ çœŸæœºä¼ çœŸå‡ºæ¥æœ‰å¾ˆç²—çš„é»‘è‰²å¢¨è¿¹ï¼Œè¯·å¸®å¿™æŸ¥çœ‹ä¸€ä¸‹ï¼Œè°¢è°¢,xqyjztnm onfusvlz,24,cyoa sto cyaoa csee atmyca
4029,accout locked ,accout locked ,afijkocw rjtxslpa,0,accout lock
4030,outlook is prompting for password again and again ,outlook is prompting for password again and again ,jloygrwh acvztedi,0,outlook prompt for password again and
4031,erp SID_21 and SID_1 not working ,erp SID_21 and SID_1 not working ,bjtguqne xthqrzpc,0,erp sid and not work
4032,need erp access to the stated roles,"system (SID_34, SID_37, SID_39, SID_38, hrp, other ?): SID_21 & SID_33
enter user id of user having the issue: gthydanp

transaction code(s) the user needs or was working with: 

describe the issue: need access to the stated roles

if you are getting a ""not authorized"" message, recreate the condition then do   /nsu53   and attach result to the ticketing_tool ticket.

provide access the same as this other user: manjuvghy",svdefgwl sgtmurfh,12,need erp access the stated rolessystem sid hrp other enter user have issue gthydanp transaction code be work with describe state role - get not authorize message recreate condition then nsu and attach result ticketingtool ticket provide same this manjuvghy
4033,collaboration_platform issues,"

received from: lwizucan.zvnxlobq@gmail.com

hallo,

last week i setup collaboration_platform, and after start shatryung, my collaboration_platform didn't recognize me as owner so that i couldn't make any action.
today i started collaboration_platform again, and now it is telling me that it couldn't connect to the server, while the vpn connection was established.

hope you can help me fixing those issues?

[cid:image001.jpg@01SID_35250.d48f7220]

met vriendelijke groet,

lwizucan zvnxlobq
directeur company benelthyux
lwizucan.zvnxlobq@gmail.com<mailto:lwizucan.zvnxlobq@gmail.com>
m  +31 6 57 84 21 40
t    +31 800 4433 201
f    +31 800 3500 107

company nederland bv | wim duisenbergplantsoen 31 | 6221 se maastricht | www.company.com<
company nederland bv | postbus 982 | 6200 az maastricht



",lwizucan zvnxlobq,8,collaborationplatform issue hallo week setup and after start shatryung do not recognize owner that could make any action again now tell connect the server while vpn connection be establish hope - can help fix those cid meet vriendelijke groet lwizucan zvnxlobq directeur company benelthyux mailto nederland wim duisenbergplantsoen maastricht www com postbus
4034,computer unable to connection company network.,computer unable to connection company network. pc got ip address --192.168.32.100,eokwrjcx qxzkboeg,25,computer unable connection company network get address
4035,der mitarbeiter schrenfgker heinrifgtch (pn 50388) benÃ¶tigt zugriff im pulverleitstand (lesen & eintragen).,der mitarbeiter schrenfgker heinrifgtch (pn 50388) benÃ¶tigt zugriff im pulverleitstand (lesen & eintragen). ,mdkbjzrt qaxhznvy,18,the employee schrenfgker heinrifgtch need access powder control room read enter
4036,account locked in ad,account locked in ad,izkjplwq flztpqxk,0,account lock adaccount
4037,erp SID_34 account locked ,erp SID_34 account locked ,owdiqpfc hzutrscx,0,erp sid account lock
4038,account locked in ad,account locked in ad,djilqgmw bidchqsg,0,account lock adaccount
4039,unable to create stock recall form,"

received from: rjanhbde.owfkyjcp@gmail.com

helloâ€¦.


[cid:image003.jpg@01SID_35266.3a795500]



warm ",rjanhbde owfkyjcp,0,unable create stock recall form cid warm
4040,eeml8143294 / wlan lÃ¤sst sich nicht per knopfdruck de-/aktivieren,"eeml8143294 / wlan lÃ¤sst sich nicht per knopfdruck de-/aktivieren (xvwchsdg pladjmxt ist informiert)

bitte zu haende hrrn pries.",mvwiygou rpkscnlv,37,eeml wlan can not activate deactivate with the push button xvwchsdg pladjmxt inform please have - hand
4041,atp not getting committed in SID_1,"

received from: iwqfelcu.gsubfiml@gmail.com

hi,

please note that atp is not getting committed in SID_1.  the screen shot of error msg. is given below.

[cid:image001.png@01SID_35260.f9ddd1b0]



",iwqfelcu gsubfiml,56,atp not get commit sid please note that the screen shot error msg give below cid
4042,vpn ä¸èƒ½è¿žæŽ¥,vpn ä¸èƒ½è¿žæŽ¥,fcvqezmn frzyjknu,25,vpn ezzvpn ezz
4043,how to change password in outllok,"
name:srinfhyath
language:
browser:microsoft internet explorer
email:kflqpite.gbeoqsnc@gmail.com
customer number:
telephone:
summary:how to change password in outllok",kflqpite gbeoqsnc,0,how change password outllok srinfhyath language browser microsoft internet explorer email customer number telephone summary
4044,time cards not automatically generating.,time cards not automatically generating.,spxqmiry zpwgoqju,30,time card not automatically generate
4045,vvdgtyachac,"

received from: aksthyuhath.shettythruy@company.com

hi,

below mentioned apprentice is unable to login his desktop. please reset the password.

emp no

name

useid

20271667

cheghthan achghar

vvdgtyachac



with ",badnzyue nxuqmdwl,0,vvdgtyachac below mention apprentice unable login - desktop please reset the password emp useid cheghthan achghar with
4046,ç™»å½•è¿›åŽ»åŽæ— æ³•æ–°å»ºå®¢æˆ·ä¿¡æ¯ï¼Œæ— æ³•æŠ¥ä»·,"~connect_ui/setting/view?brand=kd&language=zh-cn&dv=1474256654564  è¿™æ˜¯ç™»å½•è¿›åŽ»åŽçš„æ“ä½œç•Œé¢ï¼Œé”€å”®ç»„ç»‡æ— æ³•ç¼–è¾‘ï¼Œä¸èƒ½å»ºå®¢æˆ·ï¼ŒæŠ¥ä»·ä¹ŸæŠ¥ä¸äº†ï¼Œè¯·å¸®å¿™å¤„ç†ä¸‹ï¼Œæ„Ÿè°¢ï¼ 

",pfiyvdea uwbdsfmr,25,ctma eazaz aoaa connectui set view brand language etm eazazcsa cei eacc aoai saa ysa aoi atmaca yei
4047,erp SID_34 account locked ,erp SID_34 account locked ,tauogwvl xfvqakdw,0,erp sid account lock
4048,job hr_payroll_na_u1 failed in job_scheduler at: 09/18/2016 23:00:00  ,"received from: monitoring_tool@company.com

job hr_payroll_na_u1 failed in job_scheduler at: 09/18/2016 23:00:00",bpctwhsn kzqsbmtp,2,job hrpayrollnau fail jobscheduler
4049,job hr_payroll_na_u6 failed in job_scheduler at: 09/18/2016 23:00:00  ,"received from: monitoring_tool@company.com

job hr_payroll_na_u6 failed in job_scheduler at: 09/18/2016 23:00:00",bpctwhsn kzqsbmtp,2,job hrpayrollnau fail jobscheduler
4050,job hr_payroll_na_u2 failed in job_scheduler at: 09/18/2016 23:00:00  ,"received from: monitoring_tool@company.com

job hr_payroll_na_u2 failed in job_scheduler at: 09/18/2016 23:00:00",bpctwhsn kzqsbmtp,2,job hrpayrollnau fail jobscheduler
4051,reset password,"

received from: rxoynvgi.ntgdsehl@gmail.com

hi it team

kindly please assist to reset SID_34 password for user: kassia

hydstheud mddwwyleh
operation supervisor
company distribution services of asia pte ltd

email : rxoynvgi.ntgdsehl@gmail.com<mailto:rxoynvgi.ntgdsehl@gmail.com>",rxoynvgi ntgdsehl,0,reset password team kindly please assist sid for user kassia hydstheud mddwwyleh operation supervisor company distribution service asia pte ltd email mailto
4052,job bkwin_HostName_768_inc failed in job_scheduler at: 09/18/2016 22:11:00  ,"received from: monitoring_tool@company.com

job bkwin_HostName_768_inc failed in job_scheduler at: 09/18/2016 22:11:00",bpctwhsn kzqsbmtp,72,job bkwinhost inc fail jobscheduler
4053,how to connect to mobile hotspot ,how to connect to mobile hotspot ,csotmdiw yfeqcbti,0,how connect mobile hotspot
4054,"ie æµè§ˆå™¨é—®é¢˜,æœç´¢ç½‘é¡µåŽä¸èƒ½æ‰“å¼€ã€‚","ie æµè§ˆå™¨é—®é¢˜,æœç´¢ç½‘é¡µåŽä¸èƒ½æ‰“å¼€ã€‚",napijrez xhpqkojc,25,eatm eaza aie
4055,reset passwords for jerydwbn gdylnaue using password_management_tool password reset.,the,jerydwbn gdylnaue,9,reset password for jerydwbn gdylnaue use passwordmanagementtool the
4056,unable to login to microsoft account and need password,unable to login to microsoft account and need password,qcxivzag vyucbagx,0,unable login microsoft account and need passwordunable password
4057,inquiry on erp availability.,inquiry on erp availability.,lsnpgqea hzeausvl,0,inquiry erp availability
4058,lhqSID_1855: h:\  is  is over 85% space consumed. space available: 2.2 g.. ,volume: h:\ label:oraarch 844d5322 on server: lhqSID_1855 is over 85% space consumed. space available: 2.2 g,uvrbhlnt bjrmalzi,1,lhqsid over space consume available volume label oraarch server
4059,circuit outage:Â·2 mbps internet link to telecom_vendor_1 circuit id on company-ap-ind-india-dmvpn-1811-rtr.company.com is down since 5:15 pm,"what type of outage:  _____network     __x___circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    ____no_____     (yes/no/na) 

2. when did it start  ?   ___5:15 pm et on 09/18__________________

3.  scheduled maintenance ( power) ? ____no___    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? ____no___    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  ___yes___    (yes/no/na) 

6. backup circuit active ?   _primary is active_______     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   _____na______   (yes/no/na) 

9. equipment reset ?    _____na______    (yes/no/na) 

10. verified site working on backup circuit ?  ___na____     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _____telecom_vendor_1#24095925____________________       

12. notified  gsc  __(yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",jyoqwxhz clhxsoqy,72,circuit outage mbps internet link telecomvendor company ind india dmvpn rtr com down since pmwhat type network xcircuit power please specify what top cert site yes when do start schedule maintenance provider maint ticket have backup active primary contact notify phone email remote dial equipment reset verify work vendor globaltelecom verizon gsc additional diagnostic
4060,unable to login to system,unable to login to system,amiodlfy gmcoruwp,0,unable login systemunable system
4061,job Job_1388 failed in job_scheduler at: 09/18/2016 18:39:00  ,"received from: monitoring_tool@company.com

job Job_1388 failed in job_scheduler at: 09/18/2016 18:39:00",bpctwhsn kzqsbmtp,73,job fail jobscheduler
4062,job bkbackup_tool_csqe_prod_inc failed in job_scheduler at: 09/18/2016 18:15:00  ,"received from: monitoring_tool@company.com

job bkbackup_tool_csqe_prod_inc failed in job_scheduler at: 09/18/2016 18:15:00",bpctwhsn kzqsbmtp,72,job bkbackuptoolcsqeprodinc fail jobscheduler
4063,job Job_1422 failed in job_scheduler at: 09/18/2016 14:10:00  ,"received from: monitoring_tool@company.com

job Job_1422 failed in job_scheduler at: 09/18/2016 14:10:00",bpctwhsn kzqsbmtp,56,job fail jobscheduler
4064,erp password block,"

received from: rhwvpmlq.zuwhpqrc@gmail.com

dear sir,

my erp password is blocked , request you to kindly re-set the password.

employee code : 20275682
login id : achghyardr



",rhwvpmlq zuwhpqrc,0,erp password block dear sir request - kindly set the employee code login achghyardr
4065,reset passwords for dmexgspl mruzqhac using password_management_tool password reset.,the,dmexgspl mruzqhac,9,reset passwords for dmexgspl mruzqhac use passwordmanagementtool password the
4066,job snp_heu_6_regen failed in job_scheduler at: 09/18/2016 11:56:00  ,"received from: monitoring_tool@company.com

job snp_heu_6_regen failed in job_scheduler at: 09/18/2016 11:56:00",bpctwhsn kzqsbmtp,56,job snpheu regen fail jobscheduler
4067,skype : personal certificate issue ,skype : personal certificate issue ,wauhocsk vxuikqaf,0,skype personal certificate issue
4068,job Job_1348a failed in job_scheduler at: 09/18/2016 11:33:00  ,"received from: monitoring_tool@company.com

job Job_1348a failed in job_scheduler at: 09/18/2016 11:33:00",bpctwhsn kzqsbmtp,73,job fail jobscheduler
4069,job Job_1353 failed in job_scheduler at: 09/18/2016 11:33:00  ,"received from: monitoring_tool@company.com

job Job_1353 failed in job_scheduler at: 09/18/2016 11:33:00",bpctwhsn kzqsbmtp,73,job fail jobscheduler
4070,why we can't use the outlook groups ? ,"

received from: bmudkpie.qolrvbip@gmail.com

best ",bmudkpie qolrvbip,0,why can not use the outlook group best
4071,abend batch job:Job_1391,job name:Job_1391,oldrctiu bxurpsyi,72,batch job
4072,job Job_1391 failed in job_scheduler at: 09/18/2016 10:39:00  ,"received from: monitoring_tool@company.com

job Job_1391 failed in job_scheduler at: 09/18/2016 10:39:00",bpctwhsn kzqsbmtp,73,job fail jobscheduler
4073,job Job_1314 failed in job_scheduler at: 09/18/2016 09:58:00  ,"received from: monitoring_tool@company.com

job Job_1314 failed in job_scheduler at: 09/18/2016 09:58:00",bpctwhsn kzqsbmtp,73,job fail jobscheduler
